longitude,latitude,site
-109.5854188,40.29473122,1
-110.0378188,42.00578122,2
-109.8406188,42.15538122,3
-109.4694188,42.15538122,4
-108.2746188,44.60508122,5
-108.2746188,44.10018122,6
-108.0194188,43.10908122,7
-108.0194188,43.09038122,8
-109.1794188,40.50978122,9
-109.2490188,40.41628122,10
-109.7710188,40.30408122,11
-107.8106188,43.87578122,12
-108.7734188,40.04228122,13
-109.4346188,41.89358122,14
-109.2606188,42.17408122,15
-109.2954188,42.00578122,16
-109.2606188,41.99643122,17
-109.2490188,41.99643122,18
-109.3070188,41.98708122,19
-109.2954188,41.98708122,20
-109.2490188,41.98708122,21
-109.2954188,41.97773122,22
-109.2838188,41.97773122,23
-109.2490188,41.96838122,24
-109.2374188,41.96838122,25
-109.9334188,42.64158122,26
-109.7478188,42.50133122,27
-109.7362188,42.50133122,28
-109.7246188,42.50133122,29
-109.7014188,42.50133122,30
-109.6898188,42.50133122,31
-109.6666188,42.50133122,32
-109.7478188,42.49198122,33
-109.7014188,42.49198122,34
-109.6666188,42.49198122,35
-109.7246188,42.48263122,36
-109.6782188,42.48263122,37
-109.6666188,42.48263122,38
-109.7478188,42.47328122,39
-109.7362188,42.47328122,40
-109.7014188,42.47328122,41
-109.6898188,42.47328122,42
-109.6666188,42.47328122,43
-109.6550188,42.47328122,44
-109.7478188,42.46393122,45
-109.6782188,42.46393122,46
-109.6666188,42.46393122,47
-109.7478188,42.45458122,48
-109.7246188,42.45458122,49
-109.7130188,42.45458122,50
-109.7014188,42.45458122,51
-109.7478188,42.44523122,52
-109.7246188,42.44523122,53
-109.6782188,42.44523122,54
-109.7362188,42.43588122,55
-109.7246188,42.43588122,56
-109.7130188,42.43588122,57
-109.6898188,42.43588122,58
-109.6782188,42.43588122,59
-109.6666188,42.43588122,60
-109.6550188,42.43588122,61
-103.5418188,47.00803122,62
-110.7106188,39.14468122,63
-108.0078188,43.09038122,64
-108.0194188,43.08103122,65
-107.9846188,43.08103122,66
-108.9938188,40.50043122,67
-108.9358188,40.48173122,68
-108.1354188,44.81078122,69
-107.7294188,43.85708122,70
-108.0542188,43.69813122,71
-108.2282188,43.67008122,72
-108.2050188,43.66073122,73
-107.9846188,42.97818122,74
-108.9706188,40.50043122,75
-109.3070188,40.49108122,76
-108.9358188,40.47238122,77
-108.9242188,40.47238122,78
-108.8778188,40.46303122,79
-109.1678188,39.86463122,80
-107.5090188,43.98798122,81
-107.5322188,43.93188122,82
-107.4742188,43.72618122,83
-109.2258188,41.93098122,84
-108.0774188,41.47283122,85
-107.9498188,41.06143122,86
-107.8802188,41.06143122,87
-108.0426188,41.02403122,88
-107.9846188,41.01468122,89
-108.2978188,40.63133122,90
-108.8082188,40.45368122,91
-107.4162188,43.94123122,92
-107.4278188,43.71683122,93
-109.2722188,41.97773122,94
-109.2606188,41.97773122,95
-109.2606188,41.96838122,96
-109.2490188,41.95903122,97
-109.3070188,41.94968122,98
-109.2374188,41.94968122,99
-109.2490188,41.94033122,100
-109.2374188,41.94033122,101
-110.4090188,41.93098122,102
-109.3070188,41.93098122,103
-109.2490188,41.93098122,104
-109.2374188,41.93098122,105
-110.4206188,41.87488122,106
-110.4090188,41.87488122,107
-110.4322188,41.86553122,108
-110.4206188,41.86553122,109
-109.3070188,41.85618122,110
-109.2838188,42.47328122,111
-109.2606188,41.95903122,112
-109.2838188,41.94968122,113
-109.2722188,41.94968122,114
-109.2838188,41.94033122,115
-109.2722188,41.94033122,116
-110.4438188,41.93098122,117
-109.2954188,41.93098122,118
-109.2606188,41.93098122,119
-110.4206188,41.92163122,120
-110.4322188,41.91228122,121
-110.4206188,41.91228122,122
-110.4090188,41.91228122,123
-110.4206188,41.90293122,124
-110.4090188,41.90293122,125
-110.4322188,41.89358122,126
-110.4206188,41.89358122,127
-110.4090188,41.89358122,128
-110.4902188,41.88423122,129
-110.4206188,41.88423122,130
-110.4090188,41.88423122,131
-110.5018188,41.87488122,132
-110.4902188,41.87488122,133
-110.4786188,41.87488122,134
-110.4670188,41.87488122,135
-107.0334188,38.49018122,136
-107.0218188,38.49018122,137
-107.1030188,38.48083122,138
-107.1494188,38.47148122,139
-107.1378188,38.47148122,140
-107.1262188,38.47148122,141
-107.1378188,38.46213122,142
-107.2074188,38.45278122,143
-107.1030188,38.27513122,144
-106.9290188,38.45278122,145
-113.5062188,39.31298122,146
-110.7802188,38.20968122,147
-109.8638188,38.99508122,148
-108.8662188,40.74353122,149
-108.8778188,40.72483122,150
-111.0818188,38.93898122,151
-114.0282188,44.67988122,152
-112.9030188,43.60463122,153
-108.5414188,42.73508122,154
-108.5066188,44.09083122,155
-108.4950188,43.95058122,156
-112.2882188,43.77293122,157
-107.2538188,43.20258122,158
-108.4602188,42.79118122,159
-107.9730188,42.47328122,160
-109.8058188,41.16428122,161
-109.0170188,40.48173122,162
-108.9938188,40.47238122,163
-109.0402188,40.46303122,164
-108.9938188,40.45368122,165
-108.8314188,40.44433122,166
-107.7642188,44.59573122,167
-105.2818188,43.70748122,168
-105.2702188,43.70748122,169
-105.2818188,43.68878122,170
-105.2702188,43.68878122,171
-105.2586188,43.68878122,172
-105.2818188,43.67943122,173
-105.2702188,43.67943122,174
-105.2586188,43.67943122,175
-105.2818188,43.67008122,176
-105.2586188,43.67008122,177
-105.2354188,43.67008122,178
-105.2470188,43.65138122,179
-105.2238188,43.65138122,180
-105.2470188,43.64203122,181
-105.2238188,43.64203122,182
-107.3118188,43.24933122,183
-108.4254188,42.52938122,184
-110.6294188,41.50088122,185
-107.7758188,41.12688122,186
-107.6946188,41.07078122,187
-108.1006188,41.06143122,188
-108.0426188,41.06143122,189
-107.7294188,41.06143122,190
-107.6946188,41.06143122,191
-108.0774188,41.05208122,192
-108.0426188,41.05208122,193
-107.7410188,41.05208122,194
-107.6946188,41.05208122,195
-108.0890188,41.04273122,196
-107.7410188,41.03338122,197
-107.7294188,41.03338122,198
-107.7178188,41.03338122,199
-108.0890188,41.02403122,200
-107.7294188,41.02403122,201
-108.0774188,41.00533122,202
-108.4138188,40.83703122,203
-108.7154188,40.46303122,204
-108.7038188,40.46303122,205
-108.7502188,40.45368122,206
-108.7386188,40.45368122,207
-108.7154188,40.45368122,208
-108.6458188,40.45368122,209
-108.7386188,40.44433122,210
-113.3670188,44.71728122,211
-110.4902188,41.91228122,212
-110.4786188,41.91228122,213
